Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,CustomerSince,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,AcceptedCmpCurrent,NumPurchases,AmountSpent,AmountPerPurchase,PersonsInHome
1956,Master,In Relationship,50943.0,0,1,2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,4,46,11.219512195121952,3
1966,UnderGraduate,Single,67272.0,0,1,2013,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0,20,733,36.46766169154228,3
1949,Master,Single,51529.0,0,1,2013,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,15,467,30.927152317880797,3
1971,PhD,In Relationship,32011.0,1,0,2013,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,7,122,17.183098591549296,3
1986,Master,In Relationship,7500.0,1,0,2013,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,5,36,7.058823529411765,3
1989,UnderGraduate,In Relationship,28691.0,1,0,2013,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,4,34,8.292682926829269,3
1948,PhD,In Relationship,56223.0,0,1,2013,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,8,156,19.25925925925926,3
1946,UnderGraduate,In Relationship,18100.0,0,0,2013,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,3,14,4.516129032258064,2
1989,UnderGraduate,Single,30279.0,1,0,2012,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,4,37,9.02439024390244,3
1974,Master,In Relationship,20130.0,0,0,2014,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,4,34,8.292682926829269,2
1959,UnderGraduate,Single,23295.0,0,0,2013,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,3,20,6.451612903225806,2
1972,Master,Single,42618.0,1,0,2013,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,9,192,21.0989010989011,3
1964,UnderGraduate,Single,81246.0,0,0,2013,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,16,1379,85.65217391304347,2
1976,UnderGraduate,In Relationship,24027.0,1,0,2013,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,5,48,9.411764705882353,3
1953,PhD,In Relationship,55707.0,0,1,2013,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,14,428,30.354609929078016,3
1955,UnderGraduate,Single,57959.0,0,1,2013,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,22,868,39.27601809954751,3
1969,UnderGraduate,In Relationship,56796.0,0,1,2013,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,24,1001,41.53526970954356,3
1971,Master,Single,36230.0,1,0,2013,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,6,59,9.672131147540984,3
1980,Master,In Relationship,70829.0,1,1,2013,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,14,431,30.56737588652482,4
1976,UnderGraduate,In Relationship,65991.0,0,1,2012,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,24,971,40.29045643153527,3
1972,UnderGraduate,In Relationship,38988.0,1,2,2012,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0,12,348,28.7603305785124,5
1966,Master,Single,89572.0,0,0,2012,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,23,2059,89.13419913419912,2
1984,Master,In Relationship,42207.0,1,0,2013,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,10,265,26.237623762376238,3
1952,UnderGraduate,In Relationship,50300.0,0,1,2014,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,11,270,24.324324324324326,3
1982,Master,In Relationship,66664.0,0,0,2012,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,18,1289,71.21546961325966,2
1964,UnderGraduate,In Relationship,60597.0,0,1,2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,12,893,73.80165289256199,3
1949,UnderGraduate,Single,70165.0,0,0,2013,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,21,926,43.88625592417061,2
1958,PhD,Single,50520.0,0,1,2014,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,7,135,19.014084507042256,3
1963,UnderGraduate,In Relationship,80124.0,0,0,2014,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,18,1495,82.59668508287292,2
1975,UnderGraduate,In Relationship,33183.0,1,0,2014,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,7,120,16.901408450704228,3
1969,PhD,Single,66582.0,0,0,2014,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,19,1288,67.43455497382199,2
1955,PhD,In Relationship,75261.0,0,0,2013,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,1,16,1743,108.26086956521738,2
1970,UnderGraduate,Single,31880.0,1,0,2012,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,3,15,4.838709677419355,3
1951,UnderGraduate,In Relationship,53790.0,0,2,2014,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,17,542,31.695906432748536,4
1971,PhD,In Relationship,49269.0,1,0,2012,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,22,890,40.27149321266968,3
1975,UnderGraduate,In Relationship,61456.0,0,1,2013,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,29,1388,47.697594501718214,3
1980,UnderGraduate,In Relationship,37406.0,1,0,2013,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,3,17,5.483870967741935,3
1981,PhD,In Relationship,56937.0,1,0,2012,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,23,906,39.22077922077922,3
1978,UnderGraduate,In Relationship,38415.0,1,1,2013,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,4,44,10.731707317073171,4
1988,UnderGraduate,Single,20518.0,1,0,2014,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,4,25,6.097560975609756,3
1956,UnderGraduate,In Relationship,62503.0,0,1,2013,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,22,973,44.02714932126697,3
1972,PhD,Single,41644.0,1,1,2014,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,4,31,7.560975609756098,4
1977,Master,In Relationship,55842.0,0,1,2014,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,16,518,32.17391304347826,3
1972,PhD,In Relationship,62010.0,0,1,2012,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,15,530,35.099337748344375,3
1977,UnderGraduate,In Relationship,41124.0,1,0,2012,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,14,506,35.88652482269504,3
1973,Master,In Relationship,38961.0,1,0,2013,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,5,70,13.725490196078432,3
1972,Master,Single,37760.0,1,0,2013,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,5,54,10.588235294117649,3
1974,UnderGraduate,Single,32233.0,1,0,2012,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,10,296,29.306930693069308,3
1975,UnderGraduate,In Relationship,43057.0,0,1,2013,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,11,266,23.963963963963966,3
1960,Master,In Relationship,83151.0,0,0,2012,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,18,747,41.270718232044196,2
1964,PhD,Single,78825.0,0,0,2012,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,28,895,31.85053380782918,2
1976,Master,In Relationship,65104.0,0,1,2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,15,1053,69.73509933774835,3
1974,UnderGraduate,In Relationship,60093.0,0,1,2013,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,19,735,38.481675392670155,3
1969,UnderGraduate,In Relationship,14045.0,1,0,2014,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,4,20,4.878048780487806,3
1952,Master,Single,28457.0,0,0,2012,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,9,205,22.52747252747253,2
1958,PhD,In Relationship,78952.0,0,1,2012,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,19,2092,109.52879581151832,3
1976,UnderGraduate,Single,46310.0,1,0,2012,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,12,309,25.537190082644628,3
1955,UnderGraduate,In Relationship,76005.0,0,0,2013,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,21,1722,81.61137440758293,2
1964,Master,Single,58308.0,0,1,2013,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,11,900,81.08108108108108,3
1944,PhD,Single,55614.0,0,0,2013,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,19,682,35.70680628272251,2
1962,Master,Single,59432.0,0,1,2013,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,19,663,34.71204188481675,3
1978,UnderGraduate,Single,55563.0,0,1,2014,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,5,43,8.431372549019608,3
1971,PhD,In Relationship,78642.0,0,1,2013,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,17,1816,106.19883040935672,3
1949,PhD,In Relationship,67911.0,0,1,2014,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,24,976,40.49792531120332,3
1944,UnderGraduate,In Relationship,65275.0,0,0,2013,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,20,746,37.114427860696516,2
1950,UnderGraduate,In Relationship,27203.0,1,1,2012,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,4,64,15.609756097560977,4
1961,Master,In Relationship,48330.0,0,1,2013,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,4,32,7.8048780487804885,3
1990,High School,In Relationship,24279.0,0,0,2012,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,8,263,32.46913580246914,2
1985,PhD,In Relationship,64355.0,1,0,2012,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,19,1445,75.6544502617801,3
1956,Master,In Relationship,50943.0,0,1,2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,4,46,11.219512195121952,3
1953,UnderGraduate,Single,53653.0,0,0,2012,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,26,1210,46.360153256704976,2
1976,UnderGraduate,In Relationship,65665.0,0,1,2013,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,23,945,40.90909090909091,3
1989,UnderGraduate,Single,81217.0,0,0,2013,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,21,1157,54.834123222748815,2
1992,UnderGraduate,In Relationship,34935.0,0,0,2013,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,7,137,19.295774647887324,2
1959,UnderGraduate,Single,61250.0,0,1,2012,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,19,730,38.21989528795811,3
1981,PhD,In Relationship,39665.0,1,0,2013,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,9,216,23.736263736263737,3
1979,UnderGraduate,Single,60152.0,0,1,2013,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,22,943,42.66968325791855,3
1964,UnderGraduate,In Relationship,48920.0,0,2,2013,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,13,347,26.48854961832061,4
1959,Master,In Relationship,89120.0,0,0,2014,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,18,1924,106.29834254143645,2
1946,PhD,In Relationship,44124.0,0,1,2013,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,13,397,30.30534351145038,3
1975,Master,Single,81169.0,0,0,2013,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,21,2089,99.00473933649289,2
1961,UnderGraduate,In Relationship,36443.0,1,1,2013,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,7,138,19.43661971830986,4
1990,UnderGraduate,Single,26095.0,1,0,2013,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,4,42,10.24390243902439,3
1959,UnderGraduate,In Relationship,71367.0,0,0,2013,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,16,777,48.260869565217384,2
1944,Master,In Relationship,80184.0,0,0,2014,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,19,1902,99.58115183246072,2
1965,UnderGraduate,Single,30630.0,1,1,2014,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,5,52,10.19607843137255,4
1987,Master,Single,73454.0,0,0,2014,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,12,1651,136.44628099173553,2
1991,UnderGraduate,In Relationship,42691.0,0,0,2013,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,12,358,29.586776859504134,2
1953,UnderGraduate,In Relationship,70503.0,0,0,2012,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,15,1727,114.37086092715232,2
1987,UnderGraduate,In Relationship,25545.0,1,0,2012,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,7,210,29.577464788732396,3
1986,UnderGraduate,In Relationship,32880.0,1,0,2012,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,4,42,10.24390243902439,3
1958,PhD,In Relationship,77863.0,0,0,2013,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,19,1291,67.59162303664921,2
1977,Master,In Relationship,50353.0,0,0,2014,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,14,442,31.347517730496456,2
1964,UnderGraduate,Single,61839.0,0,0,2012,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,16,1895,117.70186335403726,2
1960,PhD,In Relationship,49154.0,1,1,2013,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,13,411,31.37404580152672,4
1975,Master,Single,47682.0,0,1,2013,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,15,521,34.503311258278146,3
1969,UnderGraduate,Single,72679.0,0,1,2013,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,16,1168,72.54658385093167,3
1977,Master,In Relationship,57954.0,1,1,2014,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,16,493,30.621118012422357,4
1962,UnderGraduate,In Relationship,65316.0,1,1,2013,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,10,260,25.742574257425744,4
1982,UnderGraduate,Single,28567.0,1,0,2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,5,46,9.019607843137255,3
1951,Master,In Relationship,47352.0,0,1,2013,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,12,319,26.363636363636363,3
1967,UnderGraduate,In Relationship,44931.0,0,1,2014,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,6,96,15.737704918032788,3
1967,UnderGraduate,Single,76982.0,0,0,2014,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,15,1062,70.33112582781457,2
1952,Master,In Relationship,57247.0,0,1,2013,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,10,232,22.97029702970297,3
1981,Master,Single,22944.0,1,0,2013,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,6,76,12.459016393442624,3
1977,Master,In Relationship,25315.0,1,0,2013,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,6,54,8.852459016393443,3
1969,UnderGraduate,Single,43638.0,0,1,2012,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,9,201,22.087912087912088,3
1984,PhD,Single,42710.0,1,0,2012,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,12,406,33.553719008264466,3
1982,PhD,In Relationship,84169.0,0,0,2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,19,1919,100.47120418848166,2
1976,UnderGraduate,In Relationship,54058.0,0,1,2013,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,18,662,36.574585635359114,3
1990,Master,In Relationship,24683.0,1,0,2014,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,6,41,6.721311475409837,3
1964,UnderGraduate,Single,85620.0,0,0,2014,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,13,1600,122.13740458015268,2
1980,UnderGraduate,In Relationship,47850.0,1,0,2013,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,7,134,18.87323943661972,3
1968,UnderGraduate,In Relationship,19514.0,1,1,2014,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,6,69,11.311475409836067,4
1973,Master,In Relationship,27159.0,1,1,2014,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,4,21,5.121951219512195,4
1963,Master,Single,39548.0,1,1,2014,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,5,54,10.588235294117649,4
1989,UnderGraduate,Single,21474.0,1,0,2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,6,91,14.918032786885247,3
1971,PhD,Single,60504.0,0,1,2014,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,16,526,32.670807453416145,3
1963,UnderGraduate,In Relationship,22419.0,0,0,2013,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,7,162,22.816901408450704,2
1949,Master,In Relationship,81698.0,0,0,2013,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,24,1008,41.82572614107884,2
1952,UnderGraduate,In Relationship,43462.0,1,1,2012,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,10,240,23.762376237623762,4
1978,PhD,Single,54880.0,1,0,2013,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,19,795,41.623036649214654,3
1982,UnderGraduate,In Relationship,79908.0,0,0,2013,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,18,1772,97.90055248618783,2
1970,Master,In Relationship,15315.0,0,0,2013,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,6,64,10.491803278688526,2
1959,UnderGraduate,In Relationship,87771.0,0,1,2013,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,19,1957,102.46073298429319,3
1978,UnderGraduate,In Relationship,33039.0,1,0,2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,6,78,12.78688524590164,3
1980,UnderGraduate,Single,81741.0,0,0,2013,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,19,1572,82.30366492146597,2
1971,Master,In Relationship,71499.0,0,1,2013,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,24,795,32.98755186721991,3
1970,Master,In Relationship,62466.0,0,1,2014,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,21,889,42.132701421800945,3
1963,PhD,Single,48799.0,0,1,2013,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,12,331,27.355371900826448,3
1950,PhD,In Relationship,52157.0,0,1,2014,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,10,265,26.237623762376238,3
1962,UnderGraduate,Single,66565.0,0,1,2012,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,15,1065,70.52980132450331,3
1951,Master,In Relationship,29298.0,1,1,2013,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,3,11,3.5483870967741935,4
1979,UnderGraduate,Single,47691.0,0,1,2013,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,3,21,6.774193548387097,3
1970,UnderGraduate,In Relationship,38200.0,1,1,2012,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,17,5.483870967741935,4
1974,UnderGraduate,In Relationship,44989.0,0,1,2012,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,11,369,33.24324324324324,3
1968,PhD,In Relationship,38443.0,1,1,2014,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,4,38,9.26829268292683,4
1978,Master,Single,38593.0,1,0,2013,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,8,177,21.85185185185185,3
1970,PhD,In Relationship,64413.0,0,1,2013,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,11,279,25.135135135135137,3
1981,Master,In Relationship,36959.0,1,0,2013,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,5,62,12.15686274509804,3
1977,PhD,In Relationship,61996.0,0,1,2013,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,18,1230,67.95580110497237,3
1968,UnderGraduate,In Relationship,51287.0,1,1,2014,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,8,182,22.469135802469136,4
1970,UnderGraduate,In Relationship,13260.0,1,1,2013,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,6,49,8.032786885245901,4
1966,PhD,In Relationship,47472.0,1,1,2013,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,6,75,12.295081967213115,4
1956,Master,In Relationship,54603.0,1,1,2013,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,10,227,22.475247524752476,4
1974,PhD,In Relationship,45207.0,1,1,2012,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,10,215,21.287128712871286,4
1951,UnderGraduate,In Relationship,40689.0,0,1,2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,13,444,33.89312977099237,3
1967,Master,In Relationship,47821.0,1,1,2013,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,4,47,11.463414634146343,4
1951,Master,In Relationship,27450.0,0,0,2013,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,6,143,23.442622950819672,2
1983,UnderGraduate,In Relationship,39453.0,1,0,2014,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,5,55,10.784313725490197,3
1971,Master,In Relationship,26850.0,1,1,2014,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,7,63,8.873239436619718,4
1955,UnderGraduate,Single,79800.0,0,0,2012,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,21,1867,88.48341232227487,2
1961,Master,In Relationship,61794.0,0,1,2013,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,18,611,33.75690607734806,3
1955,UnderGraduate,In Relationship,53863.0,0,1,2014,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,15,473,31.32450331125828,3
1959,UnderGraduate,In Relationship,24221.0,0,0,2013,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,5,55,10.784313725490197,2
1984,PhD,Single,39684.0,1,0,2012,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,5,81,15.882352941176471,3
1975,Master,In Relationship,92163.0,0,0,2012,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,21,2086,98.86255924170615,2
1965,Master,Single,69882.0,0,0,2013,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,19,1478,77.38219895287958,2
1977,UnderGraduate,In Relationship,33178.0,1,0,2014,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,4,49,11.951219512195124,3
1972,PhD,In Relationship,59973.0,0,0,2013,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,14,382,27.092198581560286,2
1975,Master,In Relationship,17459.0,1,0,2013,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,6,69,11.311475409836067,3
1969,UnderGraduate,Single,23910.0,1,0,2012,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,5,67,13.137254901960786,3
1969,Master,In Relationship,42169.0,1,1,2013,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,4,30,7.317073170731708,4
1978,Master,In Relationship,26224.0,1,0,2013,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,6,63,10.327868852459018,3
1981,UnderGraduate,In Relationship,31089.0,1,0,2012,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,7,79,11.126760563380282,3
1961,UnderGraduate,Single,30081.0,0,1,2013,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,4,42,10.24390243902439,3
1960,UnderGraduate,In Relationship,62807.0,0,1,2012,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,20,819,40.74626865671642,3
1955,UnderGraduate,Single,72906.0,0,0,2013,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,16,1151,71.49068322981365,2
1948,PhD,In Relationship,61467.0,0,2,2012,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,17,594,34.73684210526316,4
1966,Master,In Relationship,49618.0,1,1,2013,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,7,129,18.169014084507044,4
1986,Master,Single,21888.0,1,0,2012,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,8,213,26.296296296296298,3
1973,UnderGraduate,Single,42429.0,0,1,2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,5,67,13.137254901960786,3
1956,UnderGraduate,Single,26150.0,2,1,2013,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,4,28,6.829268292682928,5
1975,High School,In Relationship,30801.0,0,1,2012,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,4,45,10.975609756097562,3
1965,UnderGraduate,In Relationship,81168.0,0,0,2014,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,17,1193,69.76608187134502,2
1969,Master,Single,26877.0,0,0,2013,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,10,268,26.534653465346537,2
